gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
noun_common,Maskuline,Bauernhof,granja,Bauernhöfe,A2,"Auf dem Bauernhof gibt es viele Tiere.","En la granja hay muchos animales.",,,
noun_common,Neutrum,Handelsunternehmen,empresa comercial,Handelsunternehmen,A2,"Das Handelsunternehmen exportiert Waren ins Ausland.","La empresa comercial exporta mercancías al extranjero.",,,
conjunction_coordinating,,aber,pero,,A1,"Ich will helfen, aber ich habe keine Zeit.","Quiero ayudar, pero no tengo tiempo.",,,
conjunction_subordinating,,als,cuando (en el pasado),,A2,"Als ich klein war, hatte ich Angst im Dunkeln.","Cuando era niño, tenía miedo en la oscuridad.",,,
conjunction_subordinating,,bis,hasta que,,A2,"Warte hier, bis ich zurückkomme.","Espera aquí hasta que yo regrese.",,,
conjunction_subordinating,,damit,para que,,B1,"Ich sage es dir, damit du Bescheid weißt.","Te lo digo para que estés enterado.",,,
conjunction_coordinating,,denn,porque (coordinante),,A2,"Ich gehe jetzt, denn es ist schon spät.","Me voy ahora, porque ya es tarde.",,,
conjunction_subordinating,,nachdem,después de que,,B1,"Nachdem wir gegessen hatten, sind wir nach Hause gegangen.","Después de que comimos, nos fuimos a casa.",,,
conjunction_subordinating,,obwohl,aunque,,B1,"Obwohl es regnet, gehen wir raus.","Aunque llueve, vamos a salir.",,,
conjunction_coordinating,,oder,o,,A1,"Willst du Tee oder Kaffee?","¿Quieres té o café?",,,
conjunction_subordinating,,sobald,en cuanto,,B1,"Sobald du fertig bist, ruf mich an.","En cuanto termines, llámame.",,,
conjunction_coordinating,,sondern,sino (contraste),,B1,"Das ist nicht teuer, sondern günstig.","Eso no es caro, sino barato.",,,
conjunction_coordinating,,und,y,,A1,"Ich lerne Deutsch und arbeite jeden Tag.","Aprendo alemán y trabajo todos los días.",,,
conjunction_subordinating,,während,mientras,,B1,"Während er telefoniert, warte ich draußen.","Mientras él habla por teléfono, yo espero afuera.",,,
conjunction_subordinating,,weil,porque (subordinante),,A2,"Ich bleibe zu Hause, weil ich krank bin.","Me quedo en casa porque estoy enfermo.",,,
conjunction_subordinating,,wenn,si/cuando,,A2,"Wenn du Zeit hast, komm vorbei.","Si tienes tiempo, ven.",,,
particle_focus,,zwar,si bien / es cierto que,,B1,"Er ist zwar nett, aber manchmal unzuverlässig.","Es cierto que es amable, pero a veces es poco confiable.",,,
noun_common,Femenin,Stellenanzeige,oferta de trabajo (anuncio),Stellenanzeigen,B1,"Ich habe eine interessante Stellenanzeige gefunden.","Encontré una oferta de trabajo interesante.",,,
adjective,,passend,adecuado/a,,A2,"Das ist nicht passend für diese Situation.","Eso no es adecuado para esta situación.",,,
noun_common,Neutrum,Arbeitsamt,oficina de empleo,Arbeitsämter,A2,"Er meldet sich beim Arbeitsamt, um Arbeit zu finden.","Se registra en la oficina de empleo para encontrar trabajo.",,,
noun_common,Femenin,Bushaltestelle,parada de autobús,Bushaltestellen,A1,"Wir treffen uns an der Bushaltestelle.","Nos vemos en la parada de autobús.",,,
adverb_time,,erneut,de nuevo,,B1,"Er versucht es erneut.","Lo intenta de nuevo.",,,
noun_common,Femenin,Zeitung,periódico,Zeitungen,A1,"Ich lese morgens die Zeitung.","Leo el periódico por la mañana.",,,
noun_common,Maskuline,Sportteil,sección de deportes,Sportteile,B1,"Im Sportteil steht etwas über das Spiel von gestern.","En la sección de deportes aparece algo sobre el partido de ayer.",,,
adverb_sentence_connector,,jedoch,sin embargo,,B1,"Ich wollte helfen, jedoch war es zu spät.","Quería ayudar, sin embargo ya era demasiado tarde.",,,
adjective,,gestrig,de ayer,,A2,"Der gestrige Abend war echt komisch.","La noche de ayer fue realmente rara.",,,
noun_common,Maskuline,Tipp,consejo / tip,Tipps,B1,"Danke für den Tipp, das hilft mir sehr.","Gracias por el consejo, eso me ayuda mucho.",,,
adjective,,richtig,correcto,,A1,"Deine Antwort ist richtig.","Tu respuesta es correcta.",,,
adjective,,falsch,incorrecto,,A1,"Das ist falsch, so funktioniert es nicht.","Eso está mal, así no funciona.",,,
fixed_phrase,,essen gehen,salir a comer,,A2,"Wollen wir heute Abend essen gehen?","¿Quieres que salgamos a comer hoy en la noche?",,,
preposition_akkusative,,durch,por / a través de,,A2,"Wir gehen durch den Park.","Caminamos por el parque.",,,
adverb_time,,früh,temprano,,A1,"Ich stehe früh auf, weil ich arbeiten muss.","Me levanto temprano porque tengo que trabajar.",,,
