gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
verb_main,,zupfen,depilar (arrancar),,B1,"Sie zupft sich die Augenbrauen.","Ella se depila las cejas.",haben,No,Si
noun_common,Femenin,Augenbraue,ceja,Augenbrauen,A2,"Meine Augenbraue juckt.","Me pica la ceja.",,,
verb_main,,stutzen,recortar,,B2,"Der Friseur stutzt den Bart.","El barbero recorta la barba.",haben,No,No
noun_common,Neutrum,Gesicht,cara/rostro,Gesichter,A1,"Er wäscht sich das Gesicht.","Él se lava la cara.",,,
verb_main,,genießen,disfrutar,,B1,"Ich genieße den freien Tag.","Disfruto el día libre.",haben,No,No
noun_common,Femenin,Freiheit,libertad,Freiheiten,B1,"Freiheit ist mir wichtig.","La libertad es importante para mí.",,,
adverb_manner,,meistens,la mayoría de las veces,,A2,"Meistens bin ich um acht Uhr im Büro.","La mayoría de las veces estoy en la oficina a las ocho.",,,
noun_common,Femenin,Anmeldung,registro/inscripción,Anmeldungen,B1,"Die Anmeldung ist online möglich.","La inscripción se puede hacer en línea.",,,
noun_common,Femenin,Schere,tijera,Scheren,A2,"Wo ist die Schere?","¿Dónde está la tijera?",,,
noun_common,Femenin,Bürste,cepillo,Bürsten,A2,"Ich brauche eine Bürste für meine Haare.","Necesito un cepillo para mi cabello.",,,
noun_common,Femenin,Rasierklinge,cuchilla de afeitar,Rasierklingen,B2,"Die Rasierklinge ist sehr scharf.","La cuchilla de afeitar está muy afilada.",,,
noun_common,Maskuline,Stuhl,silla,S̈tuhle,A1,"Der Stuhl ist bequem.","La silla es cómoda.",,,
noun_common,Neutrum,Handtuch,toalla,Handtücher,A1,"Gib mir bitte ein Handtuch.","Dame por favor una toalla.",,,
fixed_phrase,,Das reicht schon,con eso basta,,A2,"Danke, das reicht schon.","Gracias, con eso basta.",,,
noun_common,Neutrum,Mittel,medio/recurso,,B1,"Wir finden ein Mittel gegen den Stress.","Encontramos un medio contra el estrés.",,,
noun_common,Femenin,Stirn,frente,Stirnen,B1,"Er hat sich an der Stirn verletzt.","Se lastimó la frente.",,,
adjective,,schmerzhaft,doloroso,,B2,"Das war sehr schmerzhaft.","Eso fue muy doloroso.",,,
adjective,,bereit,listo/preparado,,A2,"Bist du bereit?","¿Estás listo?",,,
noun_common,Maskuline,Keks,galleta,Kekse,A1,"Ich esse einen Keks zum Kaffee.","Me como una galleta con el café.",,,
noun_common,Neutrum,Trinkgeld,propina,Trinkgelder,B1,"Das Trinkgeld ist schon inbegriffen.","La propina ya está incluida.",,,
noun_common,Neutrum,Geld,dinero,,A1,"Ich habe kein Geld dabei.","No traigo dinero.",,,

