gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
verb_main,,schlucken,tragar,,A2,"Schluck das bitte runter.","Trágalo por favor.","haben","No","No"
verb_separable,,abbrechen,interrumpir / cancelar,,B1,"Wir müssen die Mission abbrechen.","Tenemos que cancelar la misión.","haben","Si","No"
verb_separable,,eingeben,introducir (datos),,A2,"Bitte gib dein Passwort ein.","Por favor introduce tu contraseña.","haben","Si","No"
adjective,,niedlich,tierno,,A2,"Der Hund ist niedlich.","El perro es tierno.",,,
verb_main,,begreifen,entender (captar),,B1,"Ich begreife das nicht.","No entiendo eso.","haben","No","No"
noun_common,Femenin,Gegend,zona / barrio,Gegenden,A2,"In dieser Gegend ist es ruhig.","En esta zona es tranquilo.",,,
verb_main,,anfassen,tocar,,A2,"Fass das nicht an!","¡No toques eso!","haben","No","No"
noun_common,Neutrum,Treppenhaus,caja de escaleras,Treppenhäuser,B1,"Im Treppenhaus war es dunkel.","En la caja de escaleras estaba oscuro.",,,
noun_common,Femenin,Bedingung,condición,Bedingungen,B1,"Unter einer Bedingung mache ich mit.","Bajo una condición participo.",,,
verb_separable,,ausdenken,inventar / idear,,B1,"Ich denke mir eine Geschichte aus.","Me invento una historia.","haben","Si","No"
verb_separable,,ausgeben,gastar,,A2,"Ich gebe zu viel Geld aus.","Gasto demasiado dinero.","haben","Si","No"
noun_common,Maskuline,Stecken,palo / bastón,Stecken,B2,"Er trägt einen Stecken in der Hand.","Él lleva un palo en la mano.",,,
verb_main,,stecken,estar metido / insertar,,B1,"Steck den Schlüssel ins Schloss.","Mete la llave en la cerradura.","haben","No","No"
noun_common,Neutrum,Anstoßen,brindis / chocar copas,,B1,"Beim Anstoßen hat er gelächelt.","Al brindar, él sonrió.",,,
noun_common,Maskuline,Feigling,cobarde,Feiglinge,B1,"Er ist ein Feigling.","Él es un cobarde.",,,
noun_common,Femenin,Lüge,mentira,Lügen,A2,"Das war eine Lüge.","Eso fue una mentira.",,,
verb_main,,lügen,mentir,,A2,"Warum lügst du mich an?","¿Por qué me mientes?","haben","No","No"
verb_separable,,abhauen,huir / largarse,,B2,"Wir müssen abhauen!","¡Tenemos que largarnos!","sein","Si","No"
fixed_phrase,,auf jeden Fall,de todas formas / definitivamente,,A2,"Auf jeden Fall komme ich.","De todas formas voy a ir.",,,
noun_common,Maskuline,Lebenslauf,CV / currículum,Lebensläufe,B1,"Ich habe meinen Lebenslauf aktualisiert.","Actualicé mi currículum.",,,
noun_common,Femenin,Waage,báscula,Waagen,A2,"Die Waage ist im Badezimmer.","La báscula está en el baño.",,,
