gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
adjective,,nachlässig,descuidado,,B1,"Er ist bei der Arbeit nachlässig.","Es descuidado en el trabajo.",,,
adjective,,wahnsinnig,loco,,A2,"Das ist wahnsinnig!","¡Eso es una locura!",,,
noun_common,Maskuline,Zahn,diente,Zähne,A1,"Der Zahn tut weh.","El diente duele.",,,
noun_common,Femenin,Scheide,vagina,Scheiden,B2,"Die Scheide ist ein medizinischer Begriff.","Vagina es un término médico.",,,
noun_common,Maskuline,Abstand,distancia,Abstände,A1,"Halte Abstand.","Mantén distancia.",,,
verb_main,,behalten,conservar,,A1,"Ich behalte das Geheimnis.","Guardo el secreto.","haben","No","No"
adjective,,nett,amable,,A1,"Sie ist sehr nett.","Ella es muy amable.",,,
adjective,,ehrlich,honesto,,A1,"Er ist ehrlich.","Él es honesto.",,,
adjective,,ganz,entero,,A1,"Den ganzen Tag.","Todo el día.",,,
adverb_time,,vorbei,terminado,,A1,"Die Zeit ist vorbei.","El tiempo se acabó.",,,
verb_main,,spinnen,estar loco,,A2,"Du spinnst!","¡Estás loco!",,,
noun_common,Neutrum,Riesenrad,rueda de la fortuna,Riesenräder,A1,"Das Riesenrad ist sehr hoch.","La rueda de la fortuna es muy alta.",,,
verb_main,,hinzufügen,agregar,,A1,"Ich füge einen Namen hinzu.","Agrego un nombre.","haben","Si","No"
adjective,,männlich,masculino,,A1,"Die Stimme ist männlich.","La voz es masculina.",,,
adjective,,weiblich,femenino,,A1,"Der Name klingt weiblich.","El nombre suena femenino.",,,
noun_common,Neutrum,Brettspiel,juego de mesa,Brettspiele,A1,"Wir spielen ein Brettspiel.","Jugamos un juego de mesa.",,,
noun_common,Maskuline,Onkel,tío,Onkel,A1,"Mein Onkel lebt hier.","Mi tío vive aquí.",,,
noun_common,Femenin,Tante,tía,Tanten,A1,"Meine Tante arbeitet dort.","Mi tía trabaja ahí.",,,
noun_common,Maskuline,Cousin,primo,Cousins,A1,"Mein Cousin ist alt.","Mi primo es mayor.",,,
noun_common,Femenin,Cousine,prima,Cousinen,A1,"Meine Cousine studiert.","Mi prima estudia.",,,
noun_common,Femenin,Freundschaft,amistad,Freundschaften,A1,"Die Freundschaft ist wichtig.","La amistad es importante.",,,
adverb_sentence_connector,,auch,también,,A1,"Ich komme auch.","Yo también voy.",,,
adjective,,entfernt,lejano,,A2,"Ein entfernter Verwandter.","Un pariente lejano.",,,
fixed_phrase,,unter der Woche,entre semana,,A1,"Ich arbeite unter der Woche.","Trabajo entre semana.",,,
adverb_degree,,wenig,poco,,A1,"Ich habe wenig Zeit.","Tengo poco tiempo.",,,
noun_common,Neutrum,Spiel,juego,Spiele,A1,"Das Spiel macht Spaß.","El juego es divertido.",,,
verb_main,,erzählen,contar,,A1,"Er erzählt eine Geschichte.","Cuenta una historia.","haben","No","No"
verb_main,,abzählen,contar uno por uno,,A2,"Sie zählt die Karten ab.","Cuenta las cartas una por una.","haben","Si","No"
noun_common,Femenin,Schule,escuela,Schulen,A1,"Die Schule ist groß.","La escuela es grande.",,,
pronoun_indefinite,,niemand,nadie,,A1,"Niemand weiß es.","Nadie lo sabe.",,,
