gram_type,gender_id,worte_de,worte_es,plural,niveau_id,example_de,example_es,verb_aux,trennbar,reflexiv
noun_common,Neutrum,Märchen,cuento de hadas,Märchen,A2,"Als Kind mochte ich Märchen.","De niño me gustaban los cuentos de hadas.",,,
adjective,,dumm,tonto/a,,A2,"Das war eine dumme Idee.","Esa fue una idea tonta.",,,
adverb_place,,woanders,en otro lugar,,A2,"Wir können woanders hingehen.","Podemos ir a otro lugar.",,,
adjective,,riesig,enorme / gigantesco/a,,B1,"Die Wohnung ist riesig.","El departamento es enorme.",,,
noun_common,Femenin,Lust,ganas / deseo,,A2,"Ich habe keine Lust heute auszugehen.","No tengo ganas de salir hoy.",,,
verb_separable,,weitermachen,seguir / continuar,,A2,"Mach bitte weiter!","¡Sigue, por favor!","haben","Si","No"
verb_separable,,aussteigen,bajarse / salir (de un vehículo),,A2,"Steig an der nächsten Station aus.","Bájate en la próxima estación.","sein","Si","No"
noun_common,Maskuline,Termin,cita / turno,Termine,A2,"Ich habe morgen einen Termin beim Arzt.","Mañana tengo una cita con el doctor.",,,
noun_common,Neutrum,Hemd,camisa,Hemden,A1,"Er trägt heute ein weißes Hemd.","Hoy él lleva una camisa blanca.",,,
verb_separable,,reinfallen,caer en la trampa / dejarse engañar,,B1,"Ich bin auf den Trick reingefallen.","Caí en el truco.","sein","Si","No"
adjective,,nervös,nervioso/a,,A2,"Vor dem Test bin ich nervös.","Antes del examen estoy nervioso.",,,
adjective,,eilig,con prisa,,B1,"Ich habe es eilig.","Tengo prisa.",,,
pronoun_indefinite,,etwas,algo,,A1,"Ich brauche etwas Wasser.","Necesito algo de agua.",,,
verb_separable,,rausnehmen,sacar / quitar,,A2,"Nimm bitte das Handy raus.","Saca el celular, por favor.","haben","Si","No"
noun_common,Femenin,Küche,cocina,Küchen,A1,"Die Küche ist sauber.","La cocina está limpia.",,,
verb_main,,bestätigen,confirmar,,B1,"Kannst du den Termin bestätigen?","¿Puedes confirmar la cita?","haben","No","No"
verb_separable,,zurückhalten,retener / contener,,B2,"Er hält Informationen zurück.","Él retiene información.","haben","Si","No"
particle_modal,,doch,pero / sí que / ya (énfasis),,B1,"Komm doch mit!","¡Pero ven conmigo!",,,
noun_common,Maskuline,Knoten,nudo, Knoten,A2,"Ich kann den Knoten nicht lösen.","No puedo deshacer el nudo.",,,
noun_common,Femenin,Scheidung,divorcio,Scheidungen,B1,"Nach der Scheidung wohnt er allein.","Después del divorcio vive solo.",,,
adjective,,verheiratet,casado/a,,A2,"Sie sind seit fünf Jahren verheiratet.","Ellos están casados desde hace cinco años.",,,
verb_separable,,umsetzen,implementar / llevar a cabo,,B2,"Wir setzen den Plan sofort um.","Implementamos el plan de inmediato.","haben","Si","No"
noun_common,Femenin,Zukunft,futuro,,A2,"Ich denke oft an die Zukunft.","A menudo pienso en el futuro.",,,
verb_separable,,eingehen auf,abordar / responder a (un tema),,B2,"Ich gehe später auf deine Frage ein.","Más tarde abordaré tu pregunta.","sein","Si","No"
fixed_phrase,,sprechen über,hablar sobre,,A2,"Wir sprechen über das Problem.","Hablamos sobre el problema.",,,
noun_common,Maskuline,Lehrer,maestro,Lehrer,A2,"Der Lehrer erklärt die Aufgabe.","El maestro explica la tarea.",,,
noun_common,Femenin,Lehrerin,maestra,Lehrerinnen,A2,"Die Lehrerin erklärt die Aufgabe.","La maestra explica la tarea.",,,
