"setze_spanisch","setze_deutsch","thema","schwirig_id"
"Me pongo nervioso antes de la entrevista","Ich werde vor dem Vorstellungsgespräch nervös","Alemán (B1) - Trennbare und untrennbare Verben",1
"Apago el celular durante la reunión","Ich schalte das Handy während der Besprechung aus","Alemán (B1) - Trennbare und untrennbare Verben",1
"Traigo comida para compartir","Ich bringe Essen zum Teilen mit","Alemán (B1) - Trennbare und untrennbare Verben",1
"Me levanto temprano para alcanzar el tren","Ich stehe früh auf, um den Zug zu erreichen","Alemán (B1) - Trennbare und untrennbare Verben",1
"Dejo el trabajo cuando termino mis tareas","Ich höre mit der Arbeit auf, wenn ich meine Aufgaben beende","Alemán (B1) - Trennbare und untrennbare Verben",1
"Me pongo a estudiar después de cenar","Ich fange nach dem Abendessen mit dem Lernen an","Alemán (B1) - Trennbare und untrennbare Verben",1
"Busco un nuevo departamento para mudarme","Ich suche eine neue Wohnung, um umzuziehen","Alemán (B1) - Trennbare und untrennbare Verben",1
"Recojo los documentos antes de salir","Ich sammle die Dokumente ein, bevor ich rausgehe","Alemán (B1) - Trennbare und untrennbare Verben",1
"Me doy cuenta de que olvidé la cartera cuando ya estoy lejos","Ich merke, dass ich die Geldbörse vergessen habe, als ich schon weit weg bin","Alemán (B1) - Trennbare und untrennbare Verben",2
"Apago la computadora después de haber guardado todo","Ich schalte den Computer aus, nachdem ich alles gespeichert habe","Alemán (B1) - Trennbare und untrennbare Verben",2
"Recojo a mis compañeros aunque termine tarde","Ich hole meine Kollegen ab, obwohl es spät wird","Alemán (B1) - Trennbare und untrennbare Verben",2
"Me pongo a trabajar en cuanto llego a la oficina","Ich fange sofort mit der Arbeit an, sobald ich im Büro ankomme","Alemán (B1) - Trennbare und untrennbare Verben",2
"Dejo de hablar cuando noto el malentendido","Ich höre auf zu reden, sobald ich das Missverständnis bemerke","Alemán (B1) - Trennbare und untrennbare Verben",2
"Busco la palabra correcta mientras explico el problema","Ich suche das richtige Wort, während ich das Problem erkläre","Alemán (B1) - Trennbare und untrennbare Verben",2
"Me pongo el abrigo porque el viento aumenta","Ich ziehe den Mantel an, weil der Wind zunimmt","Alemán (B1) - Trennbare und untrennbare Verben",2
"Traigo los documentos que me pidieron con urgencia","Ich bringe die Dokumente mit, die man dringend von mir verlangt hat","Alemán (B1) - Trennbare und untrennbare Verben",2
"Me doy cuenta de que el plan no funciona como esperábamos","Ich stelle fest, dass der Plan nicht so funktioniert, wie wir erwartet haben","Alemán (B1) - Trennbare und untrennbare Verben",2
"Apunto todo lo importante para no olvidarlo","Ich schreibe alles Wichtige auf, um es nicht zu vergessen","Alemán (B1) - Trennbare und untrennbare Verben",2
"Recojo mis cosas antes de que cierre la oficina","Ich packe meine Sachen zusammen, bevor das Büro schließt","Alemán (B1) - Trennbare und untrennbare Verben",2
"Me pongo a limpiar aunque esté cansado","Ich mache mich ans Putzen, obwohl ich müde bin","Alemán (B1) - Trennbare und untrennbare Verben",2
"Dejo el proyecto cuando ya no tiene sentido continuar","Ich gebe das Projekt auf, wenn es keinen Sinn mehr macht weiterzumachen","Alemán (B1) - Trennbare und untrennbare Verben",2
"Busco una solución antes de que el problema crezca","Ich suche nach einer Lösung, bevor das Problem größer wird","Alemán (B1) - Trennbare und untrennbare Verben",2
"Me doy cuenta demasiado tarde de lo que pasó","Ich merke zu spät, was passiert ist","Alemán (B1) - Trennbare und untrennbare Verben",2
"Apago la televisión para concentrarme mejor","Ich mache den Fernseher aus, um mich besser zu konzentrieren","Alemán (B1) - Trennbare und untrennbare Verben",2
"Recojo información mientras preparo la presentación","Ich sammle Informationen, während ich die Präsentation vorbereite","Alemán (B1) - Trennbare und untrennbare Verben",2
"Me pongo a pensar antes de responder","Ich fange an nachzudenken, bevor ich antworte","Alemán (B1) - Trennbare und untrennbare Verben",2
"Dejo de intentar cuando veo que no hay respuesta","Ich höre auf es zu versuchen, wenn ich keine Antwort bekomme","Alemán (B1) - Trennbare und untrennbare Verben",2
"Traigo todo lo necesario para evitar problemas","Ich bringe alles Nötige mit, um Probleme zu vermeiden","Alemán (B1) - Trennbare und untrennbare Verben",2
